iter	Passed	Remaining
255	11501	20352
256	11556	20324
257	11616	20306
258	11673	20282
259	11725	20249
260	11778	20217
261	11839	20198
262	11913	20203
263	11974	20184
264	12029	20155
265	12082	20122
266	12134	20087
267	12187	20055
268	12239	20020
269	12292	19986
270	12347	19956
271	12399	19921
272	12452	19886
273	12505	19853
274	12558	19819
275	12611	19785
276	12664	19750
277	12716	19715
278	12769	19681
279	12823	19648
280	12879	19617
281	12948	19606
282	13003	19573
283	13055	19537
284	13110	19504
285	13162	19467
286	13215	19431
287	13268	19395
288	13322	19361
289	13375	19325
290	13427	19287
291	13479	19250
292	13533	19214
293	13588	19180
294	13643	19146
295	13701	19116
296	13755	19081
297	13807	19043
298	13859	19004
299	13919	18977
300	13981	18951
301	14033	18912
302	14086	18874
303	14138	18835
304	14189	18795
305	14241	18756
306	14296	18720
307	14349	18681
308	14402	18643
309	14454	18604
310	14507	18566
311	14559	18526
312	14611	18486
313	14662	18445
314	14717	18408
315	14770	18369
316	14824	18332
317	14877	18292
318	14944	18270
319	14998	18232
320	15049	18191
321	15102	18151
322	15156	18112
323	15208	18071
324	15262	18033
325	15317	17995
326	15369	17954
327	15421	17913
328	15474	17873
329	15527	17833
330	15580	17793
331	15634	17753
332	15687	17712
333	15739	17671
334	15789	17628
335	15840	17585
336	15897	17548
337	15966	17525
338	16019	17484
339	16072	17443
340	16127	17404
341	16179	17362
342	16231	17319
343	16283	17277
344	16339	17239
345	16392	17197
346	16445	17156
347	16497	17114
348	16550	17072
349	16603	17030
350	16655	16988
351	16708	16945
352	16762	16905
353	16814	16861
354	16866	16819
355	16927	16784
356	16985	16747
357	17037	16704
358	17091	16662
359	17144	16620
360	17197	16578
361	17248	16533
362	17302	16491
363	17353	16447
364	17405	16404
365	17456	16359
366	17509	16316
367	17561	16272
368	17624	16238
369	17678	16196
370	17732	16154
371	17786	16112
372	17839	16069
373	17895	16029
374	17959	15995
375	18012	15952
376	18065	15909
377	18118	15865
378	18170	15821
379	18221	15775
380	18273	15731
381	18325	15686
382	18378	15643
383	18430	15598
384	18483	15554
385	18550	15522
386	18629	15500
387	18688	15461
388	18747	15421
389	18801	15378
390	18860	15339
391	18922	15302
392	18984	15264
393	19038	15220
394	19091	15176
395	19144	15131
396	19196	15086
397	19248	15040
398	19301	14996
399	19356	14952
400	19414	14911
401	19466	14866
402	19519	14821
403	19572	14776
404	19626	14731
405	19687	14692
406	19741	14648
407	19794	14603
408	19848	14558
409	19920	14527
410	19984	14489
411	20037	14444
412	20090	14398
413	20141	14352
414	20194	14306
415	20247	14260
416	20301	14215
417	20354	14169
418	20412	14128
419	20465	14082
420	20517	14035
421	20570	13989
422	20624	13944
423	20677	13898
424	20730	13852
425	20782	13805
426	20833	13759
427	20891	13715
428	20962	13681
429	21017	13636
430	21070	13590
431	21122	13543
432	21174	13496
433	21226	13450
434	21278	13402
435	21329	13355
436	21385	13311
437	21437	13263
438	21492	13218
439	21547	13173
440	21599	13126
441	21651	13079
442	21705	13033
443	21757	12986
444	21811	12939
445	21871	12897
446	21941	12860
447	21996	12815
448	22048	12767
449	22103	12721
450	22157	12675
451	22211	12628
452	22264	12581
453	22316	12534
454	22368	12487
455	22421	12439
456	22474	12392
457	22527	12346
458	22580	12298
459	22633	12251
460	22684	12203
461	22737	12156
462	22792	12109
463	22848	12064
464	22906	12019
465	22974	11980
466	23030	11934
467	23087	11889
468	23143	11843
469	23199	11797
470	23255	11751
471	23311	11704
472	23367	11659
473	23424	11613
474	23480	11567
475	23533	11519
476	23586	11472
477	23640	11424
478	23700	11380
479	23753	11332
480	23805	11284
481	23857	11235
482	23920	11192
483	23982	11148
484	24036	11101
485	24088	11053
486	24143	11005
487	24195	10957
488	24249	10909
489	24300	10860
490	24354	10812
491	24406	10764
492	24459	10716
493	24510	10667
494	24563	10619
495	24617	10571
496	24669	10522
497	24725	10475
498	24780	10428
499	24834	10380
500	24886	10332
501	24955	10290
502	25009	10242
503	25062	10193
504	25115	10145
505	25169	10097
506	25221	10048
507	25273	9999
508	25327	9951
509	25381	9903
510	25434	9855
511	25485	9805
512	25537	9756
513	25589	9708
514	25640	9658
515	25693	9610
516	25751	9563
517	25804	9514
518	25857	9466
519	25916	9419
520	25978	9374
521	26031	9325
522	26082	9276
523	26136	9227
524	26189	9178
525	26241	9129
526	26300	9082
527	26354	9034
528	26406	8985
529	26455	8935
530	26507	8885
531	26560	8836
532	26612	8787
533	26664	8738
534	26718	8689
535	26772	8641
536	26825	8592
537	26877	8542
538	26947	8499
539	27002	8450
540	27053	8401
541	27105	8351
542	27158	8302
543	27212	8253
544	27265	8204
545	27319	8155
546	27372	8106
547	27423	8056
548	27476	8007
549	27529	7958
550	27582	7909
551	27634	7859
552	27685	7810
553	27739	7760
554	27792	7711
555	27845	7662
556	27898	7613
557	27969	7568
558	28019	7518
559	28071	7469
560	28123	7419
561	28175	7369
562	28227	7320
563	28280	7270
564	28334	7221
565	28386	7171
566	28437	7121
567	28491	7072
568	28558	7026
569	28642	6984
570	28701	6936
571	28754	6886
572	28806	6837
573	28858	6787
574	28910	6737
575	28981	6691
576	29034	6642
577	29086	6592
578	29138	6542
579	29190	6492
580	29242	6442
581	29295	6392
582	29349	6343
583	29401	6293
584	29453	6243
585	29506	6193
586	29560	6143
587	29612	6093
588	29672	6045
589	29725	5995
590	29781	5946
591	29834	5896
592	29888	5846
593	29955	5799
594	30008	5749
595	30060	5699
596	30112	5649
597	30163	5598
598	30216	5549
599	30269	5498
600	30322	5448
601	30374	5398
602	30428	5348
603	30479	5298
604	30533	5248
605	30588	5199
606	30642	5149
607	30693	5098
608	30755	5050
609	30809	5000
610	30861	4949
611	30916	4900
612	30983	4852
613	31037	4802
614	31090	4752
615	31142	4701
616	31194	4651
617	31248	4601
618	31302	4551
619	31356	4501
620	31407	4450
621	31460	4400
622	31518	4350
623	31573	4300
624	31627	4250
625	31679	4200
626	31733	4150
627	31793	4100
628	31848	4050
629	31909	4001
630	31978	3952
631	32032	3902
632	32085	3852
633	32138	3801
634	32191	3751
635	32244	3701
636	32297	3650
637	32352	3600
638	32405	3549
639	32458	3499
640	32512	3449
641	32564	3398
642	32617	3348
643	32668	3297
644	32720	3246
645	32772	3196
646	32828	3145
647	32879	3095
648	32942	3045
649	32998	2995
650	33050	2944
651	33102	2893
652	33154	2843
653	33206	2792
654	33259	2741
655	33311	2691
656	33365	2640
657	33426	2590
658	33480	2540
659	33539	2490
660	33598	2439
661	33651	2389
662	33704	2338
663	33757	2287
664	33813	2237
665	33865	2186
666	33919	2135
667	33985	2085
668	34037	2035
669	34089	1984
670	34140	1933
671	34191	1882
672	34244	1831
673	34295	1780
674	34350	1730
675	34402	1679
676	34454	1628
677	34506	1577
678	34559	1526
679	34611	1476
680	34665	1425
681	34719	1374
682	34773	1323
683	34826	1272
684	34879	1222
685	34933	1171
686	34998	1120
687	35049	1069
688	35101	1018
689	35153	967
690	35211	917
691	35271	866
692	35329	815
693	35399	765
694	35455	714
695	35511	663
696	35569	612
697	35625	561
698	35681	510
699	35736	459
700	35792	408
701	35850	357
702	35903	306
703	35966	255
704	36021	204
705	36075	153
706	36127	102
707	36190	51
708	36246	0
